targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,4.78332,33.6357
2,0,39,1,5.19556,37.214
1,0,39,0,4.56067,31.7294
0,0,39,0,4.63968,29.0375
1,0,39,0,4.21274,25.8784
0,0,39,0,3.99755,21.1734
0,1,8,0,3.37067,24.3466
1,0,39,0,4.99329,33.8324
2,0,39,1,3.9406,20.4932
0,0,39,0,4.24758,27.8578
1,0,39,0,4.72793,29.2201
0,1,20,0,5.57447,46.6099
2,0,39,1,4.60139,31.8886
0,1,8,0,4.85891,35.7418
2,0,39,1,6.04098,51.1948
1,0,39,0,4.3917,27.8904
2,1,27,0,5.3639,38.9008
0,0,39,0,4.14002,25.8536
0,0,39,0,4.5924,28.559
1,0,39,0,4.99241,36.2005
0,1,16,0,4.1482,22.3692
1,0,39,0,4.31111,24.1733
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,4.86944,36.1559
2,0,39,1,5.1817,36.7931
1,0,39,0,4.6106,32.0988
0,0,39,0,5.05046,33.2914
targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,4.66493,32.0404
2,0,39,1,5.24353,37.8004
1,0,39,0,4.51367,30.2854
0,0,39,0,4.53568,27.7202
1,0,39,0,4.37921,28.8752
0,0,39,0,4.20324,23.7351
0,1,8,0,3.48165,22.7355
1,0,39,0,5.11051,34.9877
2,0,39,1,4.34482,25.764
0,0,39,0,4.46225,30.5252
1,0,39,0,4.96263,32.6338
0,1,20,0,6.12464,59.0189
2,0,39,1,5.43508,43.9104
0,1,8,0,5.07349,41.4514
2,0,39,1,6.45712,59.2958
1,0,39,0,4.79514,33.262
2,1,27,0,5.6396,41.7008
0,0,39,0,4.64432,33.8436
0,0,39,0,4.88707,32.6066
1,0,39,0,5.68253,49.8244
0,1,16,0,4.85849,33.6842
1,0,39,0,5.18832,35.9911
1,0,39,0,4.8752,34.396
1,0,39,0,5.40833,47.5792
0,0,39,0,5.48914,46.0843
0,1,16,0,3.51693,17.4579
1,0,39,0,4.64128,31.7332
1,1,16,0,4.4713,30.663
1,0,39,0,5.29159,41.7388
1,1,8,0,6.04799,45.6378
1,1,20,0,4.944,35.7101
1,0,39,0,4.79347,35.1449
1,0,39,0,5.12414,35.9204
2,0,39,1,8.45993,96.9606
0,1,27,0,4.3533,27.4956
1,0,39,0,5.55946,40.7197
0,0,39,0,5.19236,34.9973
0,1,8,0,4.85783,29.8268
0,1,16,0,4.61737,34.4381
3,0,39,1,4.75629,33.5982
0,0,39,0,4.97187,34.2981
1,1,20,0,5.05934,41.5426
3,0,39,1,5.54499,42.741
0,0,39,0,5.95799,46.6117
3,0,39,1,4.80406,32.6482
2,0,39,1,4.83374,31.8583
3,0,39,1,4.45502,26.4884
1,0,39,0,4.25952,24.4985
1,1,20,0,5.20152,40.9904
0,0,39,0,4.68385,31.5689
2,0,39,1,4.87173,34.7936
2,0,39,1,5.24669,38.9028
1,0,39,0,5.32107,44.1888
2,0,39,1,5.58541,42.9723
0,1,8,0,4.56516,25.0035
1,1,16,0,4.52441,25.8943
1,0,39,0,4.17484,25.9645
1,0,39,0,4.5758,28.7936
0,0,39,0,4.53452,32.1348
0,1,16,0,4.9975,34.7567
1,0,39,0,4.16231,22.7512
0,1,20,0,4.20862,27.3273
1,1,16,0,4.51177,34.9797
1,0,39,0,4.62868,29.3771
3,0,39,1,5.36117,41.4586
0,0,39,0,5.46979,41.7145
0,0,39,0,4.36329,27.3475
0,0,39,0,5.0704,33.5064
1,1,16,0,4.44219,33.2952
2,0,39,1,5.2229,43.5279
2,0,39,1,5.83301,52.0873
3,0,39,1,5.42013,44.5187
1,0,39,0,5.56689,44.2875
1,0,39,0,4.6151,28.0425
0,1,27,0,6.21231,52.1351
2,1,20,0,6.41193,66.3038
1,0,39,0,6.37402,65.6048
1,1,20,0,6.13512,66.1937
0,0,39,0,5.46639,41.5321
1,1,16,0,5.49236,38.1664
0,1,8,0,2.89174,11.8775
2,0,39,1,5.42532,40.4819
1,0,39,0,5.33067,35.3351
3,0,39,1,4.10322,26.8018
1,1,8,0,5.09545,43.6514
1,1,27,0,6.68268,60.7908
0,1,16,0,4.04294,21.3198
0,1,20,0,5.00497,35.4695
1,0,39,0,5.61091,42.2532
1,0,39,0,5.19993,39.8001
1,1,20,0,6.78747,61.4873
1,0,39,0,7.17286,76.511
0,0,39,0,4.98455,34.6482
1,0,39,0,6.19642,55.6251
2,0,39,1,4.5155,29.2074
2,0,39,1,5.81054,48.189
2,0,39,1,5.57357,46.1764
1,1,20,0,5.01076,37.8986
2,0,39,1,5.15874,49.9152
1,0,39,0,4.32237,24.2111
1,0,39,0,5.22746,39.564
1,0,39,0,5.34965,38.5111
0,0,39,0,4.95133,32.8078
0,0,39,0,5.10504,36.0249
0,1,16,0,5.98616,59.7256
1,0,39,0,6.04599,54.7726
1,0,39,0,6.7436,61.5572
0,1,16,0,2.80238,10.0675
0,1,16,0,5.06727,34.4238
2,1,16,0,5.74608,46.8009
0,1,22,0,4.98849,37.6538
2,1,20,0,7.50146,76.6536
1,0,39,0,5.35748,42.191
2,0,39,1,5.59703,51.9666
2,1,20,0,6.83023,71.539
2,0,39,1,4.89703,33.1805
0,0,39,0,4.58312,27.6852
1,1,16,0,7.52387,79.7386
0,0,39,0,5.12625,34.0805
2,0,39,1,6.33632,58.2243
2,0,39,1,6.41772,59.3782
1,1,16,0,7.03506,72.3598
1,0,39,0,4.67598,28.9103
0,0,39,0,5.26453,37.7326
1,0,39,0,4.63156,38.4453
0,0,39,0,5.61823,50.5526
1,1,22,0,5.02038,36.2205
1,1,27,0,5.13912,34.3258
3,0,39,1,6.21355,51.5287
0,1,8,0,4.14984,22.7717
1,1,8,0,5.60856,40.1722
2,0,39,1,4.9657,35.7546
1,0,39,0,6.50832,61.8489
0,1,16,0,4.58347,32.8014
1,1,8,0,4.45566,32.4136
3,0,39,1,5.44401,36.8542
1,0,39,0,4.45137,28.738
0,1,8,0,7.01414,75.895
1,1,20,0,5.95214,47.3136
1,0,39,0,6.27978,61.7681
0,0,39,0,5.03236,33.9467
1,0,39,0,7.16545,76.0743
0,0,39,0,6.08341,58.8677
0,0,39,0,6.58401,62.6118
2,0,39,1,4.94398,32.6066
