targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,5.54815,45.4025
2,0,39,1,5.73116,45.3974
3,0,39,1,7.4316,85.4704
0,1,16,0,6.41623,54.4891
2,1,22,0,6.79326,64.3007
1,1,27,0,6.49344,56.2381
3,0,39,1,5.63639,43.6561
1,0,39,0,6.01243,49.7766
1,0,39,0,5.53609,39.2481
1,0,39,0,6.38181,56.1481
2,0,39,1,5.45303,40.4186
3,0,39,1,5.85121,46.231
0,1,16,0,6.85193,59.1484
2,1,16,0,7.06425,69.4097
0,1,22,0,7.7136,80.0659
0,1,16,0,7.59345,86.7517
1,0,39,0,5.9959,51.2441
3,0,39,1,6.29982,56.7635
1,0,39,0,6.16905,50.1526
1,1,16,0,7.26048,67.7007
2,1,20,0,9.24703,117.118
0,0,39,0,6.2258,55.6437
0,1,16,0,8.32798,92.9288
1,1,27,0,7.9861,88.8862
2,1,20,0,9.25702,116.683
1,1,22,0,6.43683,51.5242
1,0,39,0,6.51051,59.8244
2,0,39,1,7.46758,75.9505
2,0,39,1,6.32019,55.8838
2,0,39,1,7.58435,83.4534
1,0,39,0,6.69961,61.0025
4,0,39,1,7.27127,69.5406
2,0,39,1,7.51557,83.4837
0,0,39,0,6.76969,66.0137
0,1,16,0,9.15085,110.392
0,1,22,0,8.3881,90.5806
0,0,39,0,5.73762,42.9156
1,0,39,0,6.46847,60.4561
2,0,39,1,6.54292,61.5769
1,0,39,0,6.81629,65.8366
1,1,27,0,5.28171,35.0357
1,1,16,0,7.82662,87.875
1,0,39,0,6.32172,62.7585
1,1,22,0,6.44732,49.7807
1,1,22,0,6.77704,60.6711
1,0,39,0,7.04154,72.1799
0,1,16,0,7.95437,94.4166
0,0,39,0,5.95466,46.5243
1,1,20,0,8.52078,92.2621
0,1,27,0,5.83005,44.2732
2,1,16,0,8.73255,104.395
0,1,27,0,9.25943,129.029
2,0,39,1,6.33432,59.7419
2,0,39,1,6.63066,62.8857
1,1,22,0,7.32125,71.8956
2,0,39,1,6.64361,65.1971
